Heat_Number,Date,BOF Grade Code,Hot Metal Addn. Weight,Scrap Addn. Weight,Lime Into Converter,Dolomite Into Converter,Lime Into Ladle,Iron Ore Into Converter,SIMN Into Ladle,FESI Into Ladle,FEMN Into Ladle,Measered O2 Mainblow II,Duration of Mainblow I/II,Measered O2 2nd Blow,HM_P,HM_S,HM_Si,Total_FA_Ladle,HM_Ratio,O2_per_ton_HM,Lime_Dolo_Ratio,SiMn_FA_Fraction,Grade_Encoded,C,Mn,P,S,Si
23200030,2023-04-01,1786500D,128.91,9.49,9948.0,1071.0,1004.0,3335.0,1667.0,321.0,246.0,6495.0,1043.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2234.0,0.9314306358314203,50.38398882902503,9.288515406153792,0.7461951656218683,2,0.2,0.81,0.027,0.03,0.22
23200020,2023-04-01,1786500D,125.6,8.49,10908.0,609.0,910.0,2856.0,1650.0,300.0,246.0,7262.0,1183.0,272.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2196.0,0.9366843164968552,57.81847133711928,17.911330049231672,0.7513661202182371,2,0.2,0.79,0.031,0.033,0.196
23200018,2023-04-01,1786500D,132.43,0.0,11157.0,1449.0,1006.0,3775.0,1620.0,294.0,223.0,6874.0,1024.0,260.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2137.0,0.9999999999924489,51.906667673095924,7.699792960657212,0.7580720636402629,2,0.21,0.77,0.03,0.025,0.191
23200016,2023-04-01,C20MMNACU,127.32,8.0,8640.0,4236.0,798.0,3548.0,1606.0,250.0,0.0,7398.0,1105.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1856.0,0.9408808749560976,58.105560791249566,2.039660056656742,0.8653017241374649,39,0.2,0.75,0.02,0.023,0.22
23200013,2023-04-01,C20MMNACU,125.7,7.69,9933.0,2223.0,806.0,3613.0,1596.0,257.0,0.0,7361.0,1114.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1853.0,0.9423495014548141,58.560063643129986,4.468286099863037,0.8613059902855579,39,0.22,0.78,0.017,0.025,0.22
23200011,2023-04-01,C20MMNC(BSP),126.12,7.89,9612.0,2409.0,792.0,3345.0,1613.0,250.0,0.0,7238.0,1070.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1863.0,0.9411237967245646,57.38978750350943,3.990037359898717,0.8658078368218648,43,0.2,0.77,0.019,0.022,0.19
23200009,2023-04-01,1786500D,126.73,7.89,10017.0,2610.0,811.0,2843.0,1606.0,263.0,0.0,7014.0,1163.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1869.0,0.9413905808873765,55.34601120448713,3.8379310344812883,0.8592830390578602,2,0.21,0.74,0.015,0.03,0.233
23300036,2023-04-01,1786500D,115.51,7.48,9255.0,1749.0,925.0,2604.0,1534.0,302.0,0.0,5784.0,979.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1836.0,0.9391820473132841,50.0735867020165,5.2915951972525495,0.8355119825703511,2,0.19,0.79,0.015,0.027,0.217
23200006,2023-04-01,1786500D,125.41,8.14,9627.0,1500.0,792.0,2798.0,1711.0,283.0,0.0,6814.0,1065.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1994.0,0.9390490452943537,54.33378518416128,6.417999999995722,0.8580742226675737,2,0.19,0.71,0.021,0.023,0.199
23200003,2023-04-01,1786500D,126.6,7.48,10752.0,1140.0,806.0,1995.0,1694.0,240.0,0.0,6746.0,1096.0,382.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1934.0,0.9442124104941513,53.28593996798352,9.431578947360148,0.875904860392515,2,0.21,0.75,0.014,0.024,0.202
